id,nama,alamat,kecamatan,kelurahan,jenis_fasilitas,kapasitas,latitude,longitude
24,TPS LIDAH KULON (Pengganti),JL. Raya Lidah Kulon,Kec. Lakarsantri,Kel. Lidah Kulon,TPS,14,-7.303447977222444,112.6705227673738
25,TPS SUMUR WELUT,JL. SUMBERAN SUMUR WELUT,Kec. Lakarsantri,Kel. Sumur Welut,TPS,14,-7.326292923789484,112.6741259412304
26,TPS SONOKWIJENAN,JL. SONOKWIJENAN,Kec. Sukomanunggal,Kel. Sonokwijenan,TPS,28,-7.276351210727298,112.69772087964895
27,TPS JAYAMIX,JL. DUPAK RUKUN,Kec. Asemrowo,Kel. Asemrowo,TPS,28,-7.251860623671388,112.71017246876946
28,TPS Kalibutuh,Jl. Raya Demak,Kec. Bubutan,Kel. Tembok Dukuh,TPS,52.8,-7.253545612440821,112.72041956876949
29,TPS Pirngadi,Jl. Pirngadi,Kec. Bubutan,Kel. Bubutan,TPS,28,-7.25207157982895,112.7332432301411
30,TPS Penghela,Jl. Penghela,Kec. Bubutan,Kel. Bubutan,TPS,33,-7.2479290103169545,112.7329409687695
31,TPS Tambak Rejo,Jl. Tambak Rejo,Kec. Simokerto,Kel. Tambak Rejo,TPS,52.8,-7.243242658004707,112.76027231661594
32,TPS Kayon,Jl. Kayon,Kec. Genteng,Kel. Embong Kaliasin,TPS,19.8,-7.268836833009455,112.74781342413362
33,TPS Legundi,Jl. Anggrek,Kec. Ketabang,Kel. Ketabang,TPS,29,-7.262278223555864,112.75213686729491
34,TPS Pasar Kembang,Jl. Wonorejo III (Pasar kembang),Kec. Tegalsari,Kel. Wonorejo,TPS,26.4,-7.26912424287955,112.7291626588538
35,TPS Wonokusumo Kidul,Jl. Wonokusumo Kidul,Kec. Pegirian,Kel. Pegirian,TPS,39.6,-7.225460901837192,112.7522183687695
36,TPS BENTENG,JL. BENTENG,Kec. PABEAN CANTIKAN,Kel. Nyamplungan,TPS,42,-7.224270832528912,112.73849623802072
37,LANDASAN KERTOPATEN,JL. KERTOPATEN,Kec. SIMOKERTO,Kel. Sidodadi,TPS,42,-7.2329112915401685,112.74334929151271
38,TPS Tambak Deres,Jl. Tambak Deres,Kec. Bulak,Kel. Bulak,TPS,14,-7.230331432413374,112.78519007080354
39,TPS Memet,Jl. Memet Sastro Wirya,Kec. Kenjeran,Kel. Bulak,TPS,14,-7.2454777999999935,112.79032832942664
40,Landasan Jl. Platuk,Jl. DK Bulak Banteng,Kec. Kenjeran,Kel. Bulak Banteng,TPS,14,-7.219802285254054,112.76834534147625
41,TPS Bulak Banteng Timur,Jl. Bulak Banteng Timur,Kec. Kenjeran,Kel. Bulak Banteng,TPS,16,-7.219715233125525,112.76872558213039
42,TPS Tambak Wedi,Jl. Tambak Wedi,Kec. Kenjeran,Kel. Tambak Wedi,TPS,14,-7.208769709930162,112.77476787498024
43,TPS Bogen,Jl. Bogen Tambaksari,Kec. Tambaksari,Kel. Ploso,TPS,39.6,-7.251186625496702,112.75753800859786
44,TPS Gubeng Masjid,Jl. Gubeng Masjid,Kec. Tambaksari,Kel. Pacar Keling,TPS,8,-7.266237174576091,112.7533018239418
45,TPS Gubeng Masjid Pasar,Jl. Gubeng Masjid,Kec. Tambaksari,Kel. Pacar Keling,TPS,8,-7.267492425665834,112.75278123526206
46,TPS Candi Puro,Jl. Candipuro,Kec. Tambaksari,Kel. Pacar Keling,TPS,14,-7.257932818758001,112.75859177110806
47,TPS Pasar Pacar Keling,Jl. Pacar Keling,Kec. Tambaksari,Kel. Pacar Keling,TPS,28,-7.260609455075631,112.75865935851975
48,TPS PETOJO,JL. PETOJO,Kec. Tambaksari,Kel. Pacar Keling,TPS,8,-7.263579116238979,112.756033306746
49,TPS Kaliwaron,Jl. Kaliwaron,Kec. Gubeng,Kel. Mojo,TPS,29.7,-7.263169545928895,112.76939025092592
50,TPS Mojoarum,Jl. Mojoarum,Kec. Gubeng,Kel. Mojo,TPS,23.1,-7.263798280871462,112.77477423897612
51,TPS Srikana,Jl. Srikana,Kec. Gubeng,Kel. Airlangga,TPS,26.4,-7.273762350134055,112.75822078161373
52,TPS Kangean,Jl. Kangean,Kec. Gubeng,Kel. Gubeng,TPS,19.8,-7.272274713288828,112.74529467914297
53,TPS Pasar Pucang,Jl. Pasar Pucang Anom,Kec. Gubeng,Kel. Gubeng,TPS,14,-7.2842522095421804,112.75210319008455
54,TPS Kalibokor,Jl. Kalibokor,Kec. Gubeng,Kel. Pucang Sewu,TPS,33,-7.2837133224667365,112.74951125674056
55,TPS Bratang,Jl. Bratang Binangun,Kec. Gubeng,Kel. Barata Jaya,TPS,52.8,-7.293890502645949,112.7577037767662
